"Identificador de URL";Nombre;Categorías;"Nombre de propiedad 1";"Valor de propiedad 1";"Nombre de propiedad 2";"Valor de propiedad 2";"Nombre de propiedad 3";"Valor de propiedad 3";Precio;"Precio promocional";"Peso (kg)";"Alto (cm)";"Ancho (cm)";"Profundidad (cm)";Stock;SKU;"Código de barras";"Mostrar en tienda";"Envío sin cargo";Descripción;Tags;"Título para SEO";"Descripción para SEO";Marca;"Producto Físico";"MPN (Número de pieza del fabricante)";Sexo;"Rango de edad";Costo
curcuma-con-jengibre-activada-500mg-labs-nutrition-60-capsulas-sin-sabor-pastillero-legend-nutrition-wglu5;"Cúrcuma Con Jengibre Activada 500mg Labs Nutrition 60 Cápsulas Sin Sabor + Pastillero Legend Nutrition";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition";;;;;;;14,338.00;13,621.00;0.06;0.00;0.00;0.00;23;"LABS0 1 CURCUMA CON JENGIBRE 60C 1 PASTI LEG";;SI;NO;;"Capsulas, Cognitivo, Labs, Pastillero, Suplemento";"Cúrcuma con Jengibre Activada 500mg Labs Nutrition 60 cápsulas";"Potenciá tu energía y bienestar con cúrcuma y jengibre activada. Incluye pastillero. ¡Mejorá tu salud hoy!";"Labs Nutrition";SI;;;;8,255.00
capsulas-gingko-biloba-500mg-labs-nutrition-suplemento-cognitivo-sin-sabor-pastillero-legend-nutrition-b916n;"Capsulas Gingko Biloba 500mg Labs Nutrition Suplemento Cognitivo Sin Sabor + Pastillero Legend Nutrition";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition";;;;;;;13,991.00;13,291.00;0.06;0.00;0.00;0.00;45;"LABS0 1 GINKGO BILOBA 60C 1 PASTI LEG";714604213611;SI;NO;;"Antioxidante, Cognitivo, Labs, Pastillero, Suplemento";"Ginkgo Biloba 500mg Labs Nutrition + Pastillero Legend";"Mejora tu memoria y concentración con Ginkgo Biloba 500mg. Incluye pastillero práctico. ¡Cuida tu mente y bienestar cada día!";"Labs Nutrition";SI;;;;8,055.00
complejo-b-labs-nutrition-30-capsulas-sin-sabor-sin-sabor-cctby;"Complejo B Labs Nutrition 30 Cápsulas Sin Sabor Sin Sabor";"Marcas > Suplementos Nacionales Deportivos > Labs Nutrition";;;;;;;12,973.00;12,324.00;0.06;0.00;0.00;0.00;86;"LABS0 COMPLEX B 30C";714604213239;SI;NO;;"Bienestar, Capsulas, Labs, SinSabor, Vitamina";"Complejo B Labs Nutrition 30 Cápsulas Sin Sabor Vitaminas";"Mejora tu energía y bienestar con Complejo B Labs Nutrition. Vitaminas B esenciales en 30 cápsulas sin sabor. ¡Cuida tu salud cada día!";"Labs Nutrition";SI;;;;7,469.00
astaxantina-4-mg-antioxidante-piel-ojos-articulaciones-sin-sabor-qphrr;"Astaxantina 4 Mg Antioxidante, Piel, Ojos, Articulaciones Sin Sabor";;;;;;;;31,126.00;20,596.00;0.00;0.00;0.00;0.00;22;"LABS0 4MG ASTANXINA 30CAPS";;SI;NO;;;;;Array;SI;;;;12,482.00
super-proteina-diabla-660g-doy-pack-cacao-vegano-cacao-1ttqy;"Super Proteína Diabla 660g Doy Pack Cacao Vegano Cacao";"Marcas > Suplementos Nacionales Deportivos > Diabla, Suplementos > Proteínas";;;;;;;89,376.00;56,143.00;0.00;0.00;0.00;0.00;38;"DIABLA0 SUP PROTEÍNA DOY CACAO";;SI;NO;;"Diabla, Proteina, Recuperacion, SinGluten, Vegana";"Super Proteína Diabla cacao vegano 660g alta recuperación";"Suplemento vegano sin gluten con 21g de proteína, glutamina y fibra. Ideal para recuperación muscular. ¡Incorporalo y potencia tu bienestar!";Diabla;SI;;;;34,026.00
diabla-super-proteina-vainilla-660g-suplemento-nutricional-vainilla-peb05;"Diabla Super Proteína Vainilla 660g Suplemento Nutricional Vainilla";"Marcas > Suplementos Nacionales Deportivos > Diabla, Suplementos > Proteínas";;;;;;;89,376.00;56,143.00;0.66;0.00;0.00;0.00;37;"DIABLA0 SUP PROTEÍNA DOY VAINILLA";;SI;NO;;"Diabla, Proteina, Recuperacion, SinGluten, Vegana";"Proteína Diabla Vainilla 660g Vegana Sin Gluten Recuperación";"Mejora tu rendimiento con Super Proteína Diabla Vainilla: 21g proteína, vegana, sin gluten y sin azúcar. ¡Impulsá tu bienestar y recuperate mejor!";Diabla;SI;;;;34,026.00
super-proteina-diabla-660g-frutos-rojos-doy-pack-frutos-rojos-synvv;"Super Proteína Diabla 660g Frutos Rojos Doy Pack Frutos Rojos";"Marcas > Suplementos Nacionales Deportivos > Diabla, Suplementos > Proteínas";;;;;;;89,376.00;56,143.00;0.66;0.00;0.00;0.00;31;"DIABLA0 SUP PROTEÍNA DOY FRUTOS ROJOS";;SI;NO;;"Diabla, FrutosRojos, Proteina, SinGluten, Vegana";"Super Proteína Diabla Frutos Rojos 660g Vegana Sin Gluten";"Potenciá tu nutrición con Super Proteína Diabla Frutos Rojos 660g. Fórmula vegana, sin gluten, alta en proteínas. ¡Sumala a tu rutina saludable hoy!";Diabla;SI;;;;34,026.00
gel-energetico-mervick-caf-100-frutos-rojos-caja-x-12-frutos-rojos-qewer;"Gel Energético Mervick Caf 100 Frutos Rojos Caja X 12 Frutos Rojos";"Marcas > Suplementos Nacionales Deportivos > Mervick, Suplementos > Cafeína y energía";;;;;;;19,126.00;18,170.00;0.00;0.00;0.00;0.00;0;"MERV0 GEL CAF FRUTOS ROJOS";7798115261869;SI;NO;;;;;Array;SI;;;;11,012.00
gel-energy-caf-100-mervick-12x40g-mani-salado-mani-salado-bff3u;"Gel Energy Caf 100 Mervick 12x40g Maní Salado Maní Salado";"Marcas > Suplementos Nacionales Deportivos > Mervick, Suplementos > Cafeína y energía";;;;;;;19,126.00;18,170.00;0.00;0.00;0.00;0.00;21;"MERV0 GEL CAF MANI SALADO";7798115261883;SI;NO;;;;;Array;SI;;;;11,012.00
energy-gel-caf-100-mervick-x-12-unidades-sabor-cafe-naranja-sin-gluten-repositor-energetico-naranja-cafe-1jdn8;"Energy Gel Caf 100 Mervick X 12 Unidades Sabor Cafe Naranja - Sin Gluten- Repositor Energetico Naranja Cafe";"Marcas > Suplementos Nacionales Deportivos > Mervick, Suplementos > Cafeína y energía";;;;;;;19,126.00;18,170.00;0.00;0.00;0.00;0.00;8;"MERV0 GEL CAF CAFE NARANJA";7798115261876;SI;NO;;;;;Array;SI;;;;11,012.00
gel-energy-caf-100-mervicklab-12x40g-caramelo-salado-caramelo-salado-yiwd9;"Gel Energy Caf 100 Mervicklab 12x40g Caramelo Salado Caramelo Salado";"Marcas > Suplementos Nacionales Deportivos > Mervick, Suplementos > Cafeína y energía";;;;;;;19,126.00;18,170.00;0.00;0.00;0.00;0.00;2;"MERV0 GEL CAF CARAMELO SALADO";7798115261999;SI;NO;;;;;Array;SI;;;;11,012.00
balanza-digital-san-up-medivita-bluetooth-app-analisis-corporal-negro-1d556;"Balanza Digital San Up Medivita Bluetooth App Análisis Corporal Negro";Electro-Hogar;;;;;;;32,500.00;26,789.00;5.00;0.00;0.00;0.00;8;"SANUP0 BALANZA MEDIVITA";;SI;NO;;"Balanza, Bluetooth, Digital, Negro, SanUp";"Balanza Digital San Up Medivita Bluetooth Análisis Corporal";"Controla tu salud con la Balanza Digital San Up Medivita: análisis corporal, Bluetooth y app. Precisión, seguridad y diseño moderno. ¡Mejorá tu bienestar!";San-Up;SI;;;;17,859.00
termometro-digital-san-up-su-ter403-transparente-resistente-transparente-1r9uq;"Termómetro Digital San-up Su-ter403 Transparente Resistente Transparente";Electro-Hogar;;;;;;;9,375.00;5,856.00;0.00;0.00;0.00;0.00;0;"SANUP0 TERMOMETRO DE GALIO BIOTHERM";;SI;NO;;"Blanco, Digital, Hogar, Resistente, SanUp";"Termómetro Digital San-Up SU-TER403 resistente y transparente";"Mide la temperatura con precisión en segundos. Resistente, transparente y fácil de limpiar. ¡Ideal para toda la familia! Cuida tu salud con San-Up.";San-Up;SI;;;;3,904.00
oximetro-de-dedo-san-up-su-oxi801n-negro-led-aaa-negro-t2tvi;"Oxímetro De Dedo San-up Su-oxi801n Negro Led Aaa Negro";Electro-Hogar;;;;;;;35,000.00;29,274.00;1.00;0.00;0.00;0.00;25;"SANUP0 OXIMETRO DE PULSO OXISENSE";;SI;NO;;"LED, Negro, Oxímetro, Portátil, San-Up";"Oxímetro de dedo San-Up con pantalla LED negro portátil";"Monitorea tu salud con el oxímetro San-Up SU-OXI801N. Lecturas precisas y diseño portátil. ¡Cuida tu bienestar hoy!";San-Up;SI;;;;19,516.00
tensiometro-digital-san-up-su-ted201-blanco-240-memorias-blanco-1ikb6;"Tensiómetro Digital San-up Su-ted201 Blanco 240 Memorias Blanco";Electro-Hogar;;;;;;;42,749.00;37,049.00;2.00;0.00;0.00;0.00;43;"SANUP0 TENSIOMETRO DIGITAL DE BRAZO A PILAS";;SI;NO;;"Bienestar, Blanco, Hogar, Recuperacion, San-Up";"Tensiómetro digital San-Up SU-TED201 240 memorias blanco";"Monitorea tu salud en casa con el tensiómetro digital San-Up, 240 memorias, ajuste cómodo y diseño blanco. ¡Cuida tu presión arterial fácil y preciso!";San-Up;SI;;;;24,699.00
tensiometro-digital-de-brazo-san-up-bateria-medipress-plus-blanco-ruljr;"Tensiómetro Digital De Brazo San Up Batería Medipress Plus Blanco";Electro-Hogar;;;;;;;57,500.00;42,749.00;0.00;0.00;0.00;0.00;34;"SANUP0 TENSIOMETRO DIGITAL DE BRAZO A BATERIA";;SI;NO;;"Bienestar, Blanco, Digital, SanUp, Tensiómetro";"Tensiómetro digital de brazo San Up con batería y memoria";"Monitoree su presión arterial fácilmente con el tensiómetro digital San Up. Memoria para 384 registros, inflado automático y brazalete ajustable. ¡Cuide su salud!";San-Up;SI;;;;28,499.00
tensiometro-digital-san-up-su-teb401-blanco-muneca-blanco-xeoh2;"Tensiómetro Digital San-up Su-teb401 Blanco Muñeca Blanco";Electro-Hogar;;;;;;;41,250.00;33,935.00;0.00;0.00;0.00;0.00;42;"SANUP0 TENSIOMETRO DIGITAL DE MUÑECA VITALPRESS";;SI;NO;;"Bienestar, Blanco, Muñeca, Saludable, San-Up";"Tensiómetro Digital San-Up muñeca blanco, 3 usuarios";"Monitorea tu presión arterial con el tensiómetro San-Up SU-TEB401. Diseño ergonómico, memoria para 3 usuarios y fácil de usar. ¡Cuida tu salud hoy!";San-Up;SI;;;;22,623.00
nebulizador-san-up-su-nep603-blanco-8ml-con-accesorios-blanco-1fsnb;"Nebulizador San-up Su-nep603 Blanco 8ml Con Accesorios Blanco";Electro-Hogar;;;;;;;87,500.00;69,081.00;0.00;0.00;0.00;0.00;1;"SANUP0 NEBULIZADOR CLEARBREATH";;SI;NO;;"Accesorios, Bienestar, Blanco, Hogar, San-Up";"Nebulizador San-Up 8ml con Accesorios para Cuidado Respiratorio";"Nebulizador San-Up 8ml eficiente y seguro. Incluye accesorios para toda la familia. Mejora tu bienestar respiratorio. ¡Solicítalo hoy mismo!";San-Up;SI;;;;46,054.00
nebulizador-a-piston-san-up-airstream-8ml-blanco-con-accesorios-ecpt8;"Nebulizador A Pistón San-up Airstream 8ml Blanco Con Accesorios";Electro-Hogar;;;;;;;92,500.00;61,445.00;0.00;0.00;0.00;0.00;11;"SANUP0 NEBULIZADOR AIRSTREAM";;SI;NO;;"Accesorios, Bienestar, Blanco, Hogar, San-Up";"Nebulizador San-Up AirStream 8ml blanco con accesorios";"Nebulizador de pistón San-Up AirStream 8ml, eficiente, duradero y con accesorios completos. Ideal para tratamientos respiratorios en familia. ¡Comprá ahora!";San-Up;SI;;;;40,963.00
creatina-monohidrato-ena-sport-x-75grs-monodosis-15-sobres-sin-sabor-sin-gluten-1benv;"Creatina Monohidrato Ena Sport X 75grs Monodosis 15 Sobres Sin Sabor Sin Gluten";"Suplementos > Creatinas";;;;;;;19,126.00;13,965.00;0.08;0.00;0.00;0.00;299;"ENA0 CAJA CREA MONODOSIS";;SI;NO;;"Creatina, Deportivo, Ena, Recuperacion, SinSabor";"Creatina Monohidrato Ena Sport pre entrenamiento sin sabor 75g";"Potencia tu fuerza y retrasa la fatiga con Creatina Monohidrato Ena Sport. Ideal para entrenamientos intensos. ¡Mejorá tu rendimiento ahora!";"Ena Sport";SI;;;;8,464.00
trans-resverastrol-ena-sport-x-60-capsulas-antioxidante-con-vitamina-c-y-e-sin-sabor-14ahs;"Trans Resverastrol Ena Sport X 60 Capsulas Antioxidante Con Vitamina C Y E Sin Sabor";"Marcas > Suplementos Nacionales Deportivos > Ena, Suplementos > Vitaminas y Salud";;;;;;;60,501.00;42,675.00;0.06;0.00;0.00;0.00;48;"ENA0 TRANS RESVERATROL 250MG";;SI;NO;;"Antioxidante, Bienestar, Capsulas, Ena, Vitamina";"Trans Resveratrol Ena Sport antioxidante 60 cápsulas";"Refuerza tu protección celular con Trans Resveratrol Ena Sport. Antioxidante con vitaminas C y E. ¡Mejora tu bienestar hoy mismo!";"Ena Sport";SI;;;;25,863.00
creatina-monohidrato-150g-ena-sport-sin-sabor-2x1-1fswa;"Creatina Monohidrato 150g Ena Sport Sin Sabor 2X1!!!!!";"Marcas > Suplementos Nacionales Deportivos > Ena, Suplementos";;;;;;;20,214.00;19,203.00;0.15;0.00;0.00;0.00;0;"ENA0 POTE CREATINA 150G 2X1!!!";7792981010088;SI;NO;;"Creatina, Deportivo, Ena, Recuperacion, SinSabor";"Creatina Monohidrato Ena Sport 150g Sin Sabor 2x1 Potencia";"Aumentá tu fuerza y recuperación con Creatina Monohidrato Ena Sport 2x1. Sin sabor, pura y práctica. ¡Mejora tu rendimiento, comprá ahora!";"Ena Sport";SI;;;;11,638.00
barra-proteica-pasta-de-mani-y-arandanos-caja-10u-2x1-1skk3;"Barras Proteica Pasta de Maní Y Arándanos Caja 10u 2x1!!!!";;;;;;;;24,702.00;23,465.00;0.50;0.00;0.00;0.00;0;"INTEGRA0 CAJA BARRA PROTE ARANDA 2X1!!!";;SI;NO;;"Arandanos, Mani, Proteico, SinTACC, Snack";"Barra Proteica de Maní y Arándanos 2x1 Caja 10u Snack Saludable";"Disfrutá energía y proteína con la barra proteica de maní y arándanos. Ideal para entrenar o como snack. ¡Llevate 2x1 en caja de 10 unidades!";Integra;SI;;;;14,222.00
granola-almendras-caju-y-arandanos-integra-1-kg-2x1-r136w;"Granola Almendras Cajú Y Arándanos Integra 1 Kg 2X1!!!!!";;;;;;;;22,001.00;20,900.00;1.00;0.00;0.00;0.00;0;"INTEGRA0 GRANOLA ALMEN ARANDA 1KG 2x1!!!";;SI;NO;;"Almendra, Arandanos, Desayuno, Granola, Integra";"Granola Almendras Cajú Arándanos Integra 2x1 1kg Saludable";"Granola con almendras, cajú y arándanos Integra. 2x1 en pack de 1 kg, alto en fibra y antioxidantes. ¡Sumá energía y sabor, comprá ahora!";Integra;SI;;;;12,667.00
gomitas-creatina-goom-nutrition-blueberry-blueberry-onlkm;"Gomitas Creatina Goom Nutrition Blueberry Blueberry";"Suplementos > Creatinas";;;;;;;39,990.00;49,913.00;0.00;0.00;0.00;0.00;4;"GOOM0 CREATINA GOMITAS";62979;SI;NO;;;;;Array;SI;;;;30,250.00
creatina-monohidratada-sin-sabor-full-power-300g-sin-sabor-p9on4;"Creatina Monohidratada Sin Sabor Full Power 300g Sin Sabor";"Suplementos > Creatinas";;;;;;;30,626.00;21,962.00;0.30;0.00;0.00;0.00;46;"POWER0 CREA 300G";;SI;NO;;"Creatina, Deportivo, FullPower, Polvo, SinSabor";"Creatina Monohidratada Full Power 300g Sin Sabor en Polvo";"Mejora tu fuerza y resistencia con Creatina Monohidratada Full Power. Sin sabor, fácil de mezclar y sin lactosa. ¡Potenciá tus entrenamientos ahora!";"Full Power";SI;;;;13,310.00
nad-nicotinamida-adenina-dinucleotido-gold-nutrition-x-30-caps-energia-sin-sabor-5dbug;"Nad Nicotinamida Adenina Dinucleótido Gold Nutrition X 30 Caps Energia Sin Sabor";"Marcas > Suplementos Importados > Gold Nutrition, Suplementos";;;;;;;26,545.00;18,169.00;0.00;0.00;0.00;0.00;0;"GOLDNU0 NAD 30C";;SI;NO;;"Capsulas, Energia, GoldNutriton, Suplemento, Vegana";"NAD+ Gold Nutrition 30 Caps: Energía y Longevidad Celular";"Optimiza tu energía y claridad mental con NAD+ Gold Nutrition. Fórmula avanzada de Vitamina B3 y D-Ribosa. ¡Recuperá tu vitalidad hoy!";"Gold Nutrition";SI;;;;11,011.00
glicinato-de-magnesio-60-capsulas-gold-nutrition-sin-sabor-d9guc;"Glicinato De Magnesio 60 Cápsulas Gold Nutrition Sin Sabor";"Marcas > Suplementos Importados > Gold Nutrition, Suplementos > Vitaminas y Salud";;;;;;;24,133.00;16,519.00;0.00;0.00;0.00;0.00;0;"GOLDNU0 GLICINATO DE MAG 60C";;SI;NO;;"Glicinato, GoldNutriton, Magnesio, Suplemento, Vegana";"Glicinato de Magnesio Gold Nutrition 60 Cápsulas Sin Sabor";"Mejora tu bienestar físico y mental con Glicinato de Magnesio Gold Nutrition. Suplemento sin sabor, vegano y libre de gluten. ¡Sentite mejor cada día!";"Gold Nutrition";SI;;;;10,011.00
creatina-monohidrato-gold-nutrition-1kg-neutro-sin-sabor-y6vnz;"Creatina Monohidrato Gold Nutrition 1kg Neutro Sin Sabor";"Marcas > Suplementos Importados > Gold Nutrition, Suplementos > Creatinas";;;;;;;96,526.00;56,628.00;1.00;0.00;0.00;0.00;80;"GOLDNU0 CREA 1KG";;SI;NO;;"Creatina, Deportivo, GoldNutriton, Polvo, Suplemento";"Creatina Monohidrato Gold Nutrition 1kg sin sabor neutro";"Mejora tu rendimiento con creatina monohidrato Gold Nutrition. 1kg, sin gluten, sin sabor, ideal para entrenamientos. ¡Potenciá tus resultados hoy!";"Gold Nutrition";SI;;;;34,320.00
pasta-dental-gel-sudanta-encias-sanas-hinojo-y-menta-50g-3x1-wjt8j;"Pasta Dental Gel Sudanta Encías Sanas Hinojo Y Menta 50g 3x1!!";"Marcas > Higiene y Belleza";;;;;;;3,885.00;3,690.00;0.00;0.00;0.00;0.00;5;"SRI0 PASTA GEL SUDANTA ENCIAS SANAS 50G 3X1!!";;SI;NO;;"Facial, Higiene, Natural, Oferta, Sudanta";"Pasta Dental Gel Sudanta Encías Sanas Hinojo y Menta 50g";"Limpia y cuida tus encías con Sudanta Gel Dental. Frescura natural de hinojo y menta. ¡Aprovechá la oferta 3x1 y protegé tu salud bucal!";Sudanta;SI;;;;16,744.00
sri-sri-tattva-crema-facial-rejuvenecedora-de-noche-100g-3x1-o9d2o;"Sri Sri Tattva Crema Facial Rejuvenecedora De Noche 100g 3X1!!!";"Marcas > Higiene y Belleza > SriSri, Supermercado";;;;;;;11,924.00;11,328.00;0.00;0.00;0.00;0.00;6;"SRI0 CREMA REJUVENECEDORA 3X1!!";;SI;NO;;"Facial, Hidratante, Oferta, Piel, SriSriTattva";"Crema Facial Rejuvenecedora Noche 3x1 Sri Sri Tattva 100g";"Nutre y rejuvenece tu piel cada noche con la crema facial Sri Sri Tattva. Pack 3x1, hidratación profunda y oferta exclusiva. ¡Comprá ahora!";"Sri Sri Tattva";SI;;;;6,865.00
aceite-ayurvedico-para-bebes-100ml-coco-y-sesamo-sri-sri-3x1-158b7;"Aceite Ayurvédico Para Bebés 100ml - Coco Y Sésamo - Sri Sri 3x1!!!";"Marcas > Higiene y Belleza > SriSri, Mundo del bebé";;;;;;;11,700.00;11,115.00;0.00;0.00;0.00;0.00;84;"SRI0 ACEITE AYURVEDICO BEBES 3X1!";;SI;NO;;"Aceite, Bebé, Hidratante, Natural, SriSriTattva";"Aceite Ayurvédico Bebés Coco Sésamo 100ml 3x1 Sri Sri";"Nutre y protege la piel de tu bebé con este aceite ayurvédico de coco y sésamo. Oferta 3x1, hidratación natural. ¡Cuidalo hoy mismo!";"Sri Sri Tattva";SI;;;;7,410.00
mascarilla-facial-curcuma-de-la-india-sri-sri-tattva-x-100g-anwas;"Mascarilla Facial Cúrcuma De La India Sri Sri Tattva X 100g 3X1!!!";"Marcas > Higiene y Belleza > SriSri, Supermercado";;;;;;;8,260.00;7,847.00;0.00;0.00;0.00;0.00;65;"SRI0 MASCARILLA FACIALCON CURCUMA 3X1!!";;SI;NO;;"Facial, Hidratante, Natural, Piel, SriSriTattva";"Mascarilla Facial Cúrcuma India Sri Sri Tattva 100g Purificante";"Purifica, revitaliza y suaviza tu piel con cúrcuma India. Mascarilla facial antioxidante, formato 100g. ¡Renová tu rutina y lucí un rostro radiante!";"Sri Sri Tattva";SI;;;;5,231.00
pasta-dental-sudanta-sri-sri-natural-vegan-libre-fluor-50gr-3x1-1lrnn;"Pasta Dental Sudanta Sri Sri Natural Vegan Libre Fluor 50gr 3X1!!!";"Marcas > Higiene y Belleza > SriSri, Supermercado";;;;;;;3,239.00;3,077.00;0.00;0.00;0.00;0.00;1;"SRI0 PASTA SUDANTA CANELA 50G 3X1!!";;SI;NO;;"Higiene, Natural, SinGluten, SriSriTattva, Vegana";"Pasta dental natural vegana sin flúor 3x1 Sudanta 50g";"Cuida tu sonrisa con la pasta dental Sudanta natural, vegana y sin flúor. Pack 3x1 ideal para familias. ¡Elegí salud bucal consciente hoy!";"Sri Sri";SI;;;;2,051.00
